iter	MultiClass
0	1.955251311
1	1.768133371
2	1.61441153
3	1.491947596
4	1.397685002
5	1.315795535
6	1.255780413
7	1.20499885
8	1.149362626
9	1.097382231
10	1.054394416
11	1.019964061
12	0.9803694752
13	0.9479330357
14	0.9180939393
15	0.8954353628
16	0.8708869656
17	0.848546774
18	0.8283142157
19	0.8087566058
20	0.7908698473
21	0.7739771087
22	0.7574133942
23	0.7455918873
24	0.7333068023
25	0.7206842192
26	0.7099077946
27	0.6982339363
28	0.6866099654
29	0.6773106647
30	0.6684881107
31	0.6597912202
32	0.652517406
33	0.6439365441
34	0.6353333287
35	0.6273658544
36	0.6202494275
37	0.6148387401
38	0.6099545545
39	0.6033447491
40	0.5971792585
41	0.5906709142
42	0.585360639
43	0.5806050469
44	0.5760220085
45	0.5709630886
46	0.5671131303
47	0.5633642129
48	0.5580897669
49	0.5539563428
50	0.5493114652
51	0.5451147255
52	0.5403348321
53	0.5365376957
54	0.5333461073
55	0.5303503775
56	0.5264200968
57	0.5228227237
58	0.5200286136
59	0.5169914871
60	0.514285352
61	0.5106362413
62	0.5084073783
63	0.505136519
64	0.5027716908
65	0.500090274
66	0.4976042858
67	0.4952887901
68	0.4928241944
69	0.4896661167
70	0.4876136999
71	0.4844900228
72	0.4827855993
73	0.4804251077
74	0.4779769216
75	0.4761742109
76	0.4739967377
77	0.4714242655
78	0.4695987664
79	0.4674192499
80	0.4653200437
81	0.4631651558
82	0.461579968
83	0.4598921563
84	0.4582059598
85	0.4564629361
86	0.4547535997
87	0.4535087889
88	0.4520983037
89	0.4503390814
90	0.448354328
91	0.446443577
92	0.4450632517
93	0.4432140067
94	0.4415163519
95	0.4399646605
96	0.4385072127
97	0.4367234601
98	0.4347361899
99	0.4332136161
100	0.4319122504
101	0.4306998561
102	0.4293912907
103	0.4277825642
104	0.4266217373
105	0.4249499653
106	0.423473226
107	0.422439887
108	0.4212333803
109	0.4200616086
110	0.4186576607
111	0.4173741499
112	0.4165486593
113	0.4155714658
114	0.4144225632
115	0.4133981708
116	0.4118837453
117	0.4109836329
118	0.4097247392
119	0.4086239164
120	0.4073890712
121	0.4063714867
122	0.4051520543
123	0.404143446
124	0.4031880028
125	0.4018534425
126	0.4011136297
127	0.4001458832
128	0.3994542858
129	0.3986652509
130	0.3973956427
131	0.3962644839
132	0.3956679482
133	0.3947453899
134	0.3939290347
135	0.3926713146
136	0.3915962053
137	0.3908109672
138	0.3901571487
139	0.389643987
140	0.3890573877
141	0.3882574515
142	0.3873615756
143	0.3866131898
144	0.385725739
145	0.3845131949
146	0.3834494882
147	0.3829560959
148	0.3819989171
149	0.3812741672
150	0.3807178909
151	0.3799785677
152	0.3791694331
153	0.3782162411
154	0.3773810135
155	0.376828379
156	0.3760522658
157	0.3757850039
158	0.3752158207
159	0.3748815414
160	0.3738635491
161	0.3734517918
162	0.3725505609
163	0.371713295
164	0.3709106849
165	0.3702343736
166	0.3692167384
167	0.3689127998
168	0.3681521512
169	0.3672626581
170	0.3661399495
171	0.3657747823
172	0.3652756644
173	0.3644734911
174	0.3638729525
175	0.3631779994
176	0.3625519839
177	0.3622007947
178	0.3616738933
179	0.3611909141
180	0.3607428514
181	0.3604050767
182	0.3600659925
183	0.3594078289
184	0.3588076953
185	0.3580859069
186	0.3572176736
187	0.3562761289
188	0.3556223778
189	0.3551583221
190	0.3544566516
191	0.3538346061
192	0.3532692917
193	0.3527823126
194	0.3521505314
195	0.3514462252
196	0.3508085037
197	0.3502116635
198	0.3499571072
199	0.3493575758
200	0.3490271915
201	0.3485194016
202	0.3481790625
203	0.3475257303
204	0.3471088838
205	0.3464741118
206	0.3460863313
207	0.345624467
208	0.3450859587
209	0.3446554697
210	0.344033135
211	0.3435251401
212	0.3429784609
213	0.3427752942
214	0.3422764198
215	0.3418941989
216	0.3417265404
217	0.3413355541
218	0.3406878372
219	0.3399694149
220	0.3396998353
221	0.3391032765
222	0.3385790778
223	0.3381401378
224	0.3375293691
225	0.3373179948
226	0.3370204754
227	0.3366866648
228	0.336267508
229	0.3358433102
230	0.3355342958
231	0.3349403504
232	0.3346229107
233	0.3342471995
234	0.3335133599
235	0.3330748959
236	0.3324279847
237	0.3318671495
238	0.3313066938
239	0.3307616237
240	0.3301718695
241	0.3297627044
242	0.3293663493
243	0.3288572926
244	0.3284007081
245	0.328100799
246	0.3276441281
247	0.3270896704
248	0.3267747821
249	0.3264753639
250	0.3259304893
251	0.3253996566
252	0.3248755952
253	0.3244768092
254	0.3241671025
255	0.3240211555
256	0.3237035552
257	0.3234550494
258	0.3228861513
259	0.3225984988
260	0.3219145416
261	0.3217499955
262	0.3212245007
263	0.3208055434
264	0.3204110198
265	0.3199882961
266	0.3197566295
267	0.319566545
268	0.31909209
269	0.318849629
270	0.3184923063
271	0.3182043248
272	0.3180045354
273	0.3176519216
274	0.3175014742
275	0.3169447081
276	0.316552046
277	0.3160971798
278	0.3158587098
279	0.3155969499
280	0.3154000642
281	0.3147856636
