iter	Passed	Remaining
0	90	90060
1	121	60536
2	152	50664
3	182	45396
4	212	42237
5	247	40977
6	279	39617
7	309	38336
8	339	37423
9	373	36962
10	406	36572
11	442	36406
12	474	36049
13	505	35587
14	537	35303
15	568	34954
16	599	34643
17	630	34420
18	665	34374
19	697	34194
20	729	33988
21	760	33804
22	792	33677
23	823	33483
24	854	33325
25	886	33209
26	918	33102
27	950	32982
28	981	32876
29	1013	32757
30	1046	32714
31	1077	32587
32	1107	32459
33	1140	32397
34	1171	32299
35	1202	32190
36	1234	32120
37	1265	32045
38	1296	31958
39	1327	31870
40	1359	31789
41	1390	31713
42	1421	31641
43	1453	31586
44	1484	31508
45	1516	31461
46	1549	31427
47	1581	31361
48	1611	31284
49	1644	31248
50	1677	31213
51	1707	31132
52	1739	31073
53	1770	31007
54	1802	30972
55	1833	30911
56	1866	30883
57	1897	30817
58	1928	30751
59	1959	30701
60	1990	30639
61	2023	30609
62	2055	30564
63	2086	30521
64	2116	30449
65	2148	30401
66	2179	30346
67	2209	30283
68	2240	30233
69	2272	30195
70	2304	30155
71	2337	30121
72	2368	30072
73	2398	30018
74	2429	29966
75	2461	29924
76	2491	29871
77	2522	29817
78	2552	29756
79	2583	29708
80	2615	29673
81	2649	29657
82	2681	29621
83	2713	29594
84	2745	29558
85	2775	29501
86	2806	29451
87	2836	29400
88	2869	29369
89	2901	29336
90	2934	29309
91	2967	29283
92	3000	29265
93	3032	29230
94	3064	29197
95	3098	29181
96	3131	29150
97	3163	29119
98	3194	29073
99	3226	29038
100	3260	29019
101	3292	28988
102	3325	28963
103	3359	28942
104	3391	28907
105	3423	28870
106	3454	28831
107	3483	28773
108	3513	28724
109	3544	28674
110	3575	28638
111	3606	28591
112	3636	28543
113	3666	28497
114	3698	28465
115	3729	28422
116	3762	28395
117	3794	28365
118	3825	28322
119	3858	28295
120	3890	28260
121	3920	28216
122	3954	28192
123	3986	28161
124	4018	28131
125	4052	28107
126	4084	28074
127	4115	28035
128	4145	27989
129	4176	27951
130	4210	27929
131	4242	27894
132	4272	27849
133	4303	27812
134	4335	27776
135	4367	27748
136	4399	27710
137	4430	27672
138	4460	27627
139	4489	27575
140	4518	27528
141	4548	27484
142	4579	27446
143	4609	27400
